Admin,Age,Noedu,Primary,Middle,High,College,University,Master,Phd
Jungnang,85ov,0.542116631,0.318358531,0.060907127,0.044924406,0.012526998,0.017710583,0.003023758,0.000431965
Seongbuk,6~9,0.197518639,0.802481361,0,0,0,0,0,0
Seongbuk,10~14,8.3053E-05,0.540799801,0.457248453,0.001868693,0,0,0,0
Seongbuk,15~19,0.000352684,0.000670099,0.131022078,0.617126331,0.085384778,0.165444029,0,0
Seongbuk,20~24,0.00029129,0.000436936,0.003786775,0.123478008,0.253160501,0.59970871,0.018467812,0.000669968
Seongbuk,25~29,0.000753807,0.000703553,0.00525152,0.174179607,0.229232625,0.502738831,0.077767727,0.00937233
Seongbuk,30~34,0.000657168,0.001182903,0.007991168,0.236291467,0.210951054,0.437174702,0.085405604,0.020345933
Seongbuk,35~39,0.001106038,0.003318115,0.019249776,0.325998965,0.172989128,0.371534805,0.082858757,0.022944416
Seongbuk,40~44,0.002228745,0.010871929,0.048651881,0.420036965,0.131224179,0.308681235,0.058056099,0.020248967
Seongbuk,45~49,0.003377981,0.044442486,0.112207731,0.462519093,0.090148044,0.230730819,0.040065797,0.016508048
Seongbuk,50~54,0.006157671,0.088462317,0.17938192,0.445636148,0.063282357,0.167037669,0.035384927,0.014656992
Seongbuk,55~59,0.010498784,0.153429603,0.223716201,0.405032049,0.040816327,0.127974656,0.02711265,0.01141973
Seongbuk,60~64,0.024883152,0.223814823,0.245359448,0.344135322,0.029601602,0.109281104,0.017093256,0.005831293
Seongbuk,65~69,0.056714849,0.298869908,0.213929041,0.280315375,0.026123522,0.102654402,0.0160841,0.005308804
Seongbuk,70~74,0.107244565,0.340209766,0.183927207,0.21830937,0.025213586,0.105160797,0.01347503,0.006459679
Seongbuk,75~79,0.164260355,0.354556213,0.147100592,0.185680473,0.024970414,0.101420118,0.015384615,0.006627219
Seongbuk,80~84,0.291715015,0.363425389,0.111626828,0.125087027,0.02506382,0.068229288,0.009514969,0.005337665
Seongbuk,85ov,0.43501127,0.313673929,0.079639369,0.093538693,0.016904583,0.051840721,0.006010518,0.003380917
Gangbuk,6~9,0.185869464,0.814130536,0,0,0,0,0,0
Gangbuk,10~14,0,0.52795987,0.469532007,0.002508123,0,0,0,0
Gangbuk,15~19,0.000647797,0.001195934,0.145455451,0.677695834,0.09253538,0.082469603,0,0
Gangbuk,20~24,0.000807673,0.000706714,0.008177688,0.215800101,0.340030288,0.425896012,0.008177688,0.000403836
Gangbuk,25~29,0.001037767,0.00118602,0.010637115,0.271227901,0.292872762,0.380564101,0.038842148,0.003632186
Gangbuk,30~34,0.001378334,0.002235136,0.013187304,0.348644017,0.237408732,0.340634779,0.049135747,0.00737595
Gangbuk,35~39,0.001978869,0.00438178,0.029152974,0.452489487,0.179228948,0.27764232,0.045195943,0.009929679
Gangbuk,40~44,0.002988048,0.014480539,0.065392277,0.528156604,0.123620901,0.223758811,0.03210236,0.00950046
Gangbuk,45~49,0.004983715,0.058391869,0.143311227,0.522230507,0.080524271,0.162265039,0.021936193,0.006357179
Gangbuk,50~54,0.009723119,0.11675339,0.216187474,0.472216947,0.054388697,0.106118728,0.019256333,0.005355312
Gangbuk,55~59,0.018152671,0.192795511,0.254986091,0.401056155,0.034136452,0.077184214,0.016596728,0.005092178
Gangbuk,60~64,0.035361055,0.267999575,0.257258322,0.327342338,0.026587259,0.071200681,0.011113474,0.003137297
Gangbuk,65~69,0.072568671,0.331539223,0.226243504,0.255815392,0.023323435,0.076528087,0.010393467,0.003588221
Gangbuk,70~74,0.114719349,0.350856368,0.190096659,0.218331355,0.024249618,0.08826522,0.009496354,0.003985077
Gangbuk,75~79,0.192630597,0.359452736,0.158426617,0.177394279,0.022543532,0.076181592,0.009794776,0.003575871
Gangbuk,80~84,0.329463445,0.371509256,0.11327267,0.109507374,0.020081581,0.047379981,0.004706621,0.004079071
Gangbuk,85ov,0.49556213,0.300788955,0.081854043,0.072978304,0.013313609,0.032051282,0.002465483,0.000986193
Dobong,6~9,0.194801127,0.805198873,0,0,0,0,0,0
Dobong,10~14,0,0.520706456,0.47737281,0.001920735,0,0,0,0
Dobong,15~19,0.000536127,0.001031013,0.142857143,0.66186902,0.085821511,0.107885186,0,0
Dobong,20~24,0.000416233,0.00049948,0.004203954,0.146305931,0.310343392,0.527533819,0.01057232,0.00012487
Dobong,25~29,0.000731048,0.000731048,0.005775276,0.195226259,0.28233058,0.458768916,0.051538855,0.004898019
Dobong,30~34,0.00099455,0.001750408,0.008234873,0.280105024,0.244858177,0.396507141,0.05983212,0.007717707
Dobong,35~39,0.001423661,0.002847321,0.016320011,0.398034654,0.199173582,0.315809577,0.054550505,0.011840689
Dobong,40~44,0.001865039,0.00851136,0.040386572,0.45937606,0.142556799,0.295625636,0.041980332,0.009698203
Dobong,45~49,0.003002409,0.033521396,0.087795704,0.473753671,0.102114883,0.253522056,0.03629285,0.009997031
Dobong,50~54,0.004095628,0.07057815,0.149950789,0.473791155,0.072959329,0.182588818,0.036479665,0.009556466
Dobong,55~59,0.007856638,0.125441384,0.204007768,0.437455862,0.050847458,0.138197387,0.02930791,0.006885593
Dobong,60~64,0.021776134,0.206726536,0.229441803,0.373481247,0.036097905,0.110817632,0.017491342,0.0041674
Dobong,65~69,0.054432123,0.280060883,0.222729579,0.295281583,0.029426687,0.100529101,0.014205987,0.003334058
Dobong,70~74,0.101380745,0.326555703,0.194155476,0.242765273,0.026290902,0.096841309,0.009551731,0.002458861
Dobong,75~79,0.162339646,0.350183262,0.161423335,0.203268173,0.027642028,0.083078803,0.008704948,0.003359805
Dobong,80~84,0.244991414,0.37034917,0.132512879,0.14653692,0.028620492,0.066685747,0.007727533,0.002575844
Dobong,85ov,0.427734375,0.328613281,0.087402344,0.086914063,0.018554688,0.043945313,0.005859375,0.000976563
Nowon,6~9,0.18332078,0.81667922,0,0,0,0,0,0
Nowon,10~14,4.82754E-05,0.522677352,0.475319221,0.001955152,0,0,0,0
Nowon,15~19,0.000324633,0.00058434,0.15104099,0.656408259,0.071137947,0.120503831,0,0
Nowon,20~24,0.000642864,0.00066759,0.004500049,0.123701909,0.269730986,0.590000989,0.010409455,0.000346158
Nowon,25~29,0.000993025,0.000638373,0.006549237,0.173353824,0.255964062,0.498285849,0.059321433,0.004894196
Nowon,30~34,0.001408867,0.001454314,0.007930557,0.238439339,0.2357125,0.435794305,0.068557275,0.010702843
Nowon,35~39,0.001502986,0.002452241,0.012795159,0.328343155,0.203199779,0.37262192,0.065261243,0.013823518
Nowon,40~44,0.001714627,0.007249888,0.024302967,0.365625466,0.154241837,0.371980766,0.058893693,0.015990756
Nowon,45~49,0.003154095,0.027303819,0.064088923,0.393140794,0.106916207,0.332889987,0.055595668,0.016910507
Nowon,50~54,0.006458558,0.072327565,0.133352654,0.438457398,0.075598245,0.214891943,0.045106401,0.013807237
Nowon,55~59,0.012449751,0.138057239,0.195656087,0.419451611,0.050968981,0.144087118,0.030839383,0.00848983
Nowon,60~64,0.033254157,0.230526661,0.226144647,0.351707757,0.033213203,0.103571136,0.017896634,0.003685806
Nowon,65~69,0.075699482,0.314455959,0.215906736,0.271761658,0.024611399,0.084196891,0.010466321,0.002901554
Nowon,70~74,0.12234666,0.366453965,0.183422321,0.214285714,0.021487173,0.080349004,0.009180883,0.002474281
Nowon,75~79,0.189112588,0.368940579,0.149335418,0.182857701,0.02629007,0.075645035,0.006254887,0.001563722
Nowon,80~84,0.29079244,0.365181203,0.129356685,0.128836483,0.023409051,0.057048726,0.003988209,0.001387203
Nowon,85ov,0.456350286,0.319825945,0.089203155,0.077508839,0.016589611,0.036714713,0.002447648,0.001359804
Eunpyeong,6~9,0.194246315,0.805753685,0,0,0,0,0,0
Eunpyeong,10~14,7.57318E-05,0.535537127,0.462342383,0.002044757,0,0,0,0
Eunpyeong,15~19,0.000381785,0.001006525,0.145564348,0.678467305,0.082673886,0.09190615,0,0
Eunpyeong,20~24,0.000784138,0.000448079,0.005302267,0.171875583,0.315372839,0.49609798,0.009783055,0.000336059
Eunpyeong,25~29,0.001036502,0.001036502,0.006667227,0.210858055,0.281536264,0.44533154,0.0489677,0.00456621
Eunpyeong,30~34,0.001896983,0.001185615,0.006165196,0.270082993,0.251297589,0.400079041,0.059623238,0.009669345
Eunpyeong,35~39,0.003440395,0.003071781,0.014031897,0.392082176,0.198953137,0.31961271,0.057798639,0.011009264
Eunpyeong,40~44,0.003417128,0.008052767,0.034383195,0.475245689,0.150750973,0.27178088,0.0445816,0.011787767
Eunpyeong,45~49,0.005681976,0.036863549,0.089442612,0.49754705,0.105074974,0.2215139,0.03431359,0.009562349
Eunpyeong,50~54,0.008836646,0.077189892,0.157407917,0.488906018,0.073308374,0.157738259,0.028574575,0.00803832
Eunpyeong,55~59,0.01331103,0.135815212,0.205751504,0.440865573,0.047513969,0.126419191,0.023312097,0.007011425
Eunpyeong,60~64,0.028501868,0.207236704,0.225832179,0.369306972,0.038744071,0.110481467,0.016664568,0.003232171
Eunpyeong,65~69,0.064974931,0.275401617,0.208175586,0.287987312,0.033919984,0.113578226,0.012688018,0.003274327
Eunpyeong,70~74,0.10927062,0.323040218,0.169597819,0.241649625,0.02726653,0.110974778,0.014042263,0.004158146
Eunpyeong,75~79,0.173238603,0.347661338,0.14517466,0.192776791,0.027708703,0.101124926,0.009117821,0.003197158
Eunpyeong,80~84,0.287717711,0.350599412,0.126215788,0.13345397,0.024428862,0.069441303,0.005881022,0.002261932
Eunpyeong,85ov,0.464763282,0.303939284,0.089266353,0.079508493,0.018792917,0.039392844,0.002891218,0.001445609
Seodaemoon,6~9,0.187911548,0.812088452,0,0,0,0,0,0
Seodaemoon,10~14,0,0.524750046,0.472857756,0.002392198,0,0,0,0
Seodaemoon,15~19,0.000475556,0.000618223,0.12706867,0.612421533,0.078514362,0.180901655,0,0
Seodaemoon,20~24,0.000773246,0.000386623,0.002938334,0.101449836,0.245776145,0.623197371,0.024627876,0.00085057
Seodaemoon,25~29,0.00070425,0.000492975,0.004366351,0.144864256,0.215570971,0.528751012,0.093207507,0.012042678
Seodaemoon,30~34,0.000844085,0.001205836,0.005587041,0.214035934,0.212870292,0.448128944,0.097310985,0.020016882
Seodaemoon,35~39,0.001182349,0.002479118,0.012738854,0.324650063,0.18658225,0.359090736,0.088866852,0.024409779
Seodaemoon,40~44,0.001609723,0.005955974,0.028129905,0.402551411,0.140649523,0.331683368,0.066602278,0.02281782
Seodaemoon,45~49,0.003282322,0.029924549,0.074896628,0.43467326,0.106270515,0.272432755,0.056950424,0.021569547
Seodaemoon,50~54,0.005889486,0.067512558,0.141910618,0.455439113,0.07439806,0.193400312,0.043001905,0.018447947
Seodaemoon,55~59,0.011868931,0.135726049,0.206314953,0.407462093,0.049065819,0.145493782,0.030325402,0.013742972
Seodaemoon,60~64,0.023943478,0.21241659,0.225631297,0.351498103,0.038662829,0.117493131,0.020999607,0.009354965
Seodaemoon,65~69,0.056787734,0.282375707,0.216507889,0.276049419,0.028877642,0.113873177,0.018755582,0.006772849
Seodaemoon,70~74,0.107703281,0.319543509,0.180545649,0.221023538,0.029778887,0.116975749,0.015513552,0.008915835
Seodaemoon,75~79,0.163437884,0.341943419,0.145602706,0.19203567,0.026906519,0.106396064,0.015067651,0.008610086
Seodaemoon,80~84,0.260932106,0.374280783,0.108170311,0.130609896,0.025604143,0.078250863,0.014096663,0.008055236
Seodaemoon,85ov,0.42,0.305238095,0.09,0.09047619,0.024285714,0.058095238,0.006190476,0.005714286
Mapo,6~9,0.197331894,0.802668106,0,0,0,0,0,0
Mapo,10~14,0,0.531671122,0.466201102,0.002127776,0,0,0,0
Mapo,15~19,0.000244176,0.0008302,0.137813156,0.634077257,0.081994433,0.145040777,0,0
Mapo,20~24,0.000491809,0.000491809,0.003064351,0.111716415,0.250520183,0.614837514,0.018461771,0.000416146
Mapo,25~29,0.000880023,0.00061335,0.003946772,0.130456812,0.216325769,0.555934825,0.084135577,0.007706872
Mapo,30~34,0.001163546,0.001082368,0.004843598,0.16619764,0.199399286,0.500378829,0.108940362,0.017994372
Mapo,35~39,0.001331124,0.002499253,0.010811986,0.266496428,0.17079134,0.413925185,0.108418679,0.025726006
Mapo,40~44,0.001816653,0.005820017,0.027384357,0.349638352,0.142573591,0.369823381,0.078755257,0.024188394
Mapo,45~49,0.00327452,0.028700208,0.074235303,0.409122429,0.107327221,0.297519069,0.057593035,0.022228215
Mapo,50~54,0.00439457,0.067566507,0.130110649,0.439731617,0.077336577,0.21403908,0.048144079,0.018676921
Mapo,55~59,0.01068332,0.128819158,0.188480595,0.404727498,0.054810074,0.166855904,0.033082164,0.012541288
Mapo,60~64,0.026250529,0.20710095,0.219137483,0.352809532,0.038710458,0.128833243,0.019294744,0.007863062
Mapo,65~69,0.058703456,0.273808686,0.200957275,0.285915394,0.032659956,0.12430492,0.018019286,0.005631027
Mapo,70~74,0.089700392,0.317457426,0.171386941,0.236135143,0.031873236,0.12703761,0.01739368,0.009015572
Mapo,75~79,0.145021327,0.337402559,0.153404912,0.187233417,0.0323577,0.12016473,0.015002206,0.009413149
Mapo,80~84,0.252204586,0.363315697,0.120517343,0.131981188,0.025573192,0.085537919,0.015579071,0.005291005
Mapo,85ov,0.42298634,0.331606218,0.078191239,0.087140838,0.019312294,0.052284503,0.00612341,0.002355158
Yangchun,6~9,0.182624942,0.817375058,0,0,0,0,0,0
Yangchun,10~14,5.57802E-05,0.510361177,0.487519174,0.002063868,0,0,0,0
Yangchun,15~19,0.00020836,0.000989712,0.155697356,0.682719104,0.064878239,0.095507228,0,0
Yangchun,20~24,0.000738106,0.000503254,0.003724082,0.126853654,0.279373281,0.574280346,0.014225324,0.000301953
Yangchun,25~29,0.000695975,0.000811971,0.006205777,0.16361211,0.24834706,0.508003712,0.066581603,0.005741793
Yangchun,30~34,0.00120232,0.001112146,0.006372299,0.224142595,0.228561123,0.445068983,0.08043524,0.013105293
Yangchun,35~39,0.001074987,0.002517042,0.012454116,0.318012585,0.179811222,0.382092292,0.085867855,0.0181699
Yangchun,40~44,0.001397547,0.005678919,0.025111471,0.335011868,0.132278888,0.396792298,0.081102065,0.022626944
Yangchun,45~49,0.002046929,0.023378078,0.06265756,0.352265627,0.094955937,0.361142833,0.076231928,0.027321109
Yangchun,50~54,0.004527814,0.058463529,0.12381829,0.405313962,0.076873321,0.250995124,0.058513285,0.021494676
