[step],Scenario,AC,District,Type,Value
8763,BAU,AC150,Dobong,age1564,1.65613249059925
8763,BAU,AC200,Dobong,age1564,1.61612929034323
8763,DEC,AC100,Dobong,age1564,1.70413633090647
8763,DEC,AC150,Dobong,age1564,1.28010240819266
8763,DEC,AC200,Dobong,age1564,0.784062725018001
8763,DEC,AC100,Dobong,age1564,1.57612609008721
8763,DEC,AC150,Dobong,age1564,1.20009600768061
8763,DEC,AC200,Dobong,age1564,0.84006720537643
8763,DEC,AC100,Dobong,age1564,1.66413313065045
8763,DEC,AC150,Dobong,age1564,1.27210176814145
8763,DEC,AC200,Dobong,age1564,0.816065285222818
8763,DEC,AC100,Dobong,age1564,1.62412993039443
8763,DEC,AC150,Dobong,age1564,1.18409472757821
8763,DEC,AC200,Dobong,age1564,0.752060164813185
8763,DEC,AC100,Dobong,age1564,1.46411712937035
8763,DEC,AC150,Dobong,age1564,1.16009280742459
8763,DEC,AC200,Dobong,age1564,0.66405312424994
8763,DEC,AC100,Dobong,age1564,1.82414593167453
8763,DEC,AC150,Dobong,age1564,1.39211136890951
