"gu","code","admin_cd","subdis","20s","30s","40s","50s","60over"
"Gangseo",1116071,11500640,"Banghwa2",2468,3294,4123,4207,3482
"Gangseo",1116072,11500641,"Banghwa3",2446,3423,4489,4548,3787
"Gangseo",1116073,11500540,"Hwagok1",2421,3164,3844,3948,3374
"Gangseo",1116074,11500615,"Woojangsan",2395,3635,4965,5069,4139
"Guro",1117051,11530510,"Shindorim",2512,3843,4996,5200,4308
"Guro",1117052,11530520,"Guro1",2495,3533,4570,4807,3974
"Guro",1117054,11530540,"Guro2",2379,3336,4273,4279,3525
"Guro",1117055,11530550,"Guro3",2345,3293,3936,3919,3197
"Guro",1117056,11530560,"Guro4",2399,3498,4349,4599,3728
"Guro",1117061,11530720,"Gocheok1",2323,3355,4333,4443,3659
"Guro",1117062,11530730,"Gocheok2",2266,3283,4113,4254,3416
"Guro",1117064,11530750,"Gaebong2",2380,3374,4282,4407,3654
"Guro",1117065,11530760,"Gaebong3",2212,3194,3992,4063,3356
"Guro",1117067,11530770,"Oryu1",2291,3189,4027,4191,3483
"Guro",1117068,11530780,"Oryu2",2315,3367,4193,4314,3550
"Guro",1117069,11530790,"Sugung",2214,3251,4004,4152,3421
"Guro",1117070,11530595,"Garibong",2249,2960,3481,3501,3020
"Guro",1117071,11530530,"Guro2",2281,3090,3743,3770,3164
"Guro",1117072,11530740,"Gaebong1",2288,3287,4101,4159,3437
"Gumcheon",1118051,11545510,"Gasan1",2362,3244,4024,4071,3412
"Gumcheon",1118052,11545610,"Doksan1",2350,3250,4123,4254,3432
"Gumcheon",1118053,11545620,"Doksan2",2261,3065,3628,3706,3219
"Gumcheon",1118054,11545630,"Doksan3",2323,3111,3686,3765,3284
"Gumcheon",1118055,11545640,"Doksan4",2281,3030,3635,3715,3238
"Gumcheon",1118057,11545670,"Shiheung1",2320,3265,3992,4074,3438
"Gumcheon",1118058,11545680,"Shiheung2",2275,3363,4416,4607,3812
"Gumcheon",1118059,11545690,"Shiheung3",2229,3186,3892,4109,3319
"Gumcheon",1118060,11545700,"Shiheung4",2258,3121,3833,3917,3313
"Gumcheon",1118061,11545710,"Shiheung5",2260,3117,3823,3869,3253
"Yeongdeungpo",1119054,11560540,"Yeoeui",2783,4295,5916,6458,4943
"Yeongdeungpo",1119055,11560550,"Dangsan1",2736,3796,4726,4817,3864
"Yeongdeungpo",1119056,11560560,"Dangsan2",2823,3954,5145,5468,4396
"Yeongdeungpo",1119061,11560610,"Yangpyeong1",2555,3747,4686,4624,3624
"Yeongdeungpo",1119062,11560620,"Yangpyeong2",2644,3846,4881,5076,4088
"Yeongdeungpo",1119063,11560630,"Shingil1",2559,3394,4101,4235,3285
"Yeongdeungpo",1119065,11560650,"Shingil3",2400,3295,4008,4187,3428
"Yeongdeungpo",1119066,11560660,"Shingil4",2442,3280,4281,4297,3395
"Yeongdeungpo",1119067,11560670,"Shingil5",2366,3251,3943,4069,3359
"Yeongdeungpo",1119068,11560680,"Shingil6",2535,3475,4393,4532,3661
"Yeongdeungpo",1119069,11560690,"Shingil7",2538,3558,4713,5085,3794
"Yeongdeungpo",1119070,11560700,"Daerim1",2483,3230,3892,3933,3297
"Yeongdeungpo",1119071,11560710,"Daerim2",2452,3218,3937,3956,3299
"Yeongdeungpo",1119072,11560720,"Daerim3",2503,3431,4124,4341,3664
"Yeongdeungpo",1119073,11560515,"Yeongdeungpobon",2534,3624,4643,4579,3723
"Yeongdeungpo",1119074,11560535,"Yeongdeungpo",2745,3628,4584,4574,3608
"Yeongdeungpo",1119075,11560585,"Dorim",2580,3509,4271,4221,3455
"Yeongdeungpo",1119076,11560605,"Mullae",2624,3877,5037,5279,4183
"Dongjak",1120052,11590520,"Noryangjin2",2508,3293,4065,4172,3412
"Dongjak",1120053,11590530,"Sangdo1",2756,3774,5036,5314,4104
"Dongjak",1120054,11590540,"Sangdo2",2649,3652,4866,4954,4065
"Dongjak",1120055,11590550,"Sangdo3",2584,3372,4141,4327,3479
"Dongjak",1120056,11590560,"Sangdo4",2536,3326,4092,4323,3455
"Dongjak",1120063,11590620,"Sadang1",2690,3447,4280,4416,3592
"Dongjak",1120065,11590640,"Sadang3",2648,3748,4878,5251,4301
"Dongjak",1120066,11590650,"Sadang4",2662,3506,4384,4460,3652
"Dongjak",1120067,11590651,"Sadang5",2570,3570,4486,4787,3740
"Dongjak",1120068,11590660,"Daebang",2620,3653,4883,5222,3847
"Dongjak",1120069,11590670,"Shindaebang1",2607,3583,4823,5058,4060
"Dongjak",1120070,11590680,"Shindaebang2",2640,3581,4796,5016,4068
"Dongjak",1120071,11590605,"Heukseok",2714,3877,4966,5217,4115
"Dongjak",1120072,11590510,"Noryangjin1",2655,3755,4954,5097,4016
"Dongjak",1120073,11590630,"Sadang2",2719,3862,4891,5198,4163
"Gwanak",1121052,11620525,"Boramae",2470,3227,4050,4228,3415
"Gwanak",1121054,11620545,"Cheongnim",2492,3724,4755,4934,3871
"Gwanak",1121057,11620575,"Haengun",2575,3362,4274,4460,3674
"Gwanak",1121058,11620585,"Nakseongdae",2623,3396,4404,4543,3640
"Gwanak",1121061,11620615,"Jungang",2538,3270,4041,4097,3239
"Gwanak",1121062,11620625,"Inheon",2568,3371,4192,4293,3394
"Gwanak",1121063,11620630,"Namheon",2670,3532,4492,4683,3790
"Gwanak",1121064,11620645,"Seowon",2383,3182,3967,4099,3331
"Gwanak",1121065,11620655,"Shinwon",2403,3123,3914,3915,3270
"Gwanak",1121066,11620665,"Seowon",2350,3197,4030,4290,3568
"Gwanak",1121068,11620685,"Shinsa",2398,3125,3796,3897,3271
"Gwanak",1121069,11620695,"Shillim",2315,3115,3927,4072,3386
"Gwanak",1121071,11620715,"Nanhyang",2380,3552,4517,4633,3698
"Gwanak",1121072,11620725,"Jowon",2395,3180,3965,4038,3348
"Gwanak",1121073,11620735,"Daehak",2316,3120,4157,4649,3622
"Gwanak",1121078,11620605,"Euncheon",2473,3465,4494,4422,3662
"Gwanak",1121079,11620565,"Sunghyeon",2441,3576,4707,4804,3663
"Gwanak",1121080,11620595,"Cheongryong",2508,3319,4150,4170,3330
"Gwanak",1121081,11620775,"Nangok",2321,3148,3792,3883,3255
"Gwanak",1121082,11620745,"Samseong",2317,3211,4067,4363,3530
"Gwanak",1121083,11620765,"Miseong",2367,3277,4106,4194,3585
"Seocho",1122051,11650510,"Seocho1",2973,4155,5697,6231,5143
"Seocho",1122052,11650520,"Seocho2",3027,4345,5878,6307,5037
"Seocho",1122053,11650530,"Seocho3",2847,4002,5557,6233,5201
"Seocho",1122054,11650531,"Seocho4",2995,4514,6610,7008,5469
"Seocho",1122055,11650540,"Jamwon",2955,4264,6085,6497,4948
"Seocho",1122056,11650550,"Banpobon",2810,4443,6060,6805,4862
"Seocho",1122057,11650560,"Banpo1",2889,4104,6044,6312,5013
"Seocho",1122058,11650570,"Banpo2",3127,4646,6502,6825,5190
"Seocho",1122059,11650580,"Banpo3",3048,4501,6233,6534,5062
"Seocho",1122060,11650581,"Banpo4",2943,4309,5989,6381,5235
"Seocho",1122061,11650590,"Bangbaebon",2854,4062,5725,6249,5114
"Seocho",1122062,11650600,"Bangbae1",2888,3951,5257,5695,4746
"Seocho",1122063,11650610,"Bangbae2",2933,3901,4957,5325,4436
"Seocho",1122064,11650620,"Bangbae3",2911,4062,5547,6068,5057
"Seocho",1122065,11650621,"Bangbae4",3017,4043,5510,5997,4791
"Seocho",1122066,11650651,"Yangjae1",2944,4056,5149,5497,4571
"Seocho",1122067,11650652,"Yangjae2",2929,3806,4719,4908,4109
"Seocho",1122068,11650660,"Naegok",2821,3946,5061,5685,4485
"Gangnam",1123051,11680510,"Shinsa",2970,3984,5750,6199,4917
"Gangnam",1123052,11680521,"Nonhyeon1",2759,3636,4750,5076,4547
"Gangnam",1123053,11680531,"Nonhyeon2",2893,3909,5250,5812,4892
"Gangnam",1123058,11680580,"Samseong1",2929,4228,5886,6711,5324
"Gangnam",1123059,11680590,"Samseong2",2929,4117,5802,6321,4781
"Gangnam",1123060,11680600,"Daechi1",3045,4701,6989,7370,5604
"Gangnam",1123063,11680630,"Daechi4",2784,3738,5177,5717,4428
"Gangnam",1123064,11680640,"Yeoksam1",2878,3776,4862,5216,4468
